number,category,cockTailNameEn,cockTailNameKo,technique,glass,garnish,base,material1,material2,material3,material4
0,vodka,Bloody Mary,블러드 메리,빌드,하이볼,슬라이스 레몬 혹은 샐러리,Vodka 1 1/2 oz,Worcestershire Souce 1tsp,Tabasco Sauce 1 dash,Pinch of salt and pepper,Fill with Tomato juice
1,vodka,Black Russian,블랙 러시안,빌드,올드패션드,-,Vodka 1 oz,Coffe Liqueur 1/2 oz,-,-,-
2,vodka,Harvey Wallbanger,하비 웰 뱅어,빌드+플로팅,콜린스,-,Vodka 1 1/2 oz,Fill with Orange Juice,Galliano 1/2 oz,-,-
3,vodka,Kiss of Fire,키스 오브 파이어,쉐이킹,칵테일,설탕 리밍,Vodka 1 oz,Sloe Gin 1/2 oz,Dry Vermouth 1/2 oz,Lemin Juice 1tsp,-
4,vodka,Sea Breeze,시 브리즈,빌드,하이볼,웻지 레몬,Vodka 1 1/2 oz,Cranberry Juice 3oz,Grapefruit Juice 1/2 oz,-,-
5,vodka,Long Island Iced Tea,롱 아일랜드 아이스티,빌드,콜린스,웻지 레몬 혹은 라임,Vodka 1/2 oz,Gin 1/2 oz & Light Rum 1/2 oz,Tequila 1/2 oz & Triple Sec 1/2 oz,Sweet & Sour Miz 1 1/2 oz,On top with Cola
6,vodka,Cosmopolitan,코스모폴리탄,쉐이킹,칵테일,트위스트 라임 혹은 레몬 필,Vodka 1 oz,Triple Sec 1/2 oz,Lime Juice 1/2oz,Cranberry Juice 1/2 oz,-
7,vodka,Moscow Mule,모스코 뮬,빌드,하이볼,슬라이스 라임 혹은 레몬,Vodka 1 1/2 oz,Lime Juice 1/2 oz ,Fill with GInger ale,-,-
8,vodka,Apple Martini,애플 마티니,쉐이킹,칵테일,슬라이스 사과,Vodka 1 oz,Apple Pucker 1oz,Lime Juice 1/2oz,-,-
9,wine,Kir,키르,빌드,화이트와인,트위스트 레몬 필,White Wine 3 oz,Creme De Cassis 1/2 oz,-,,
10,liqueur,Pousse Cafe,푸스카페,플로팅,스템드리큐어,-,Brandy 1/3 part,Creme De Menthe(Green) 1/3 part,Grenadine Syrup 1/3 part,-,-
